,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta1,params_beta2,params_conv_layer0_activation,params_conv_layer0_dropout_p,params_conv_layer0_filters,params_conv_layer1_activation,params_conv_layer1_dropout_p,params_conv_layer1_filters,params_conv_layer2_activation,params_conv_layer2_dropout_p,params_conv_layer2_filters,params_conv_layer3_activation,params_conv_layer3_dropout_p,params_conv_layer3_filters,params_dense_layer0_activation,params_dense_layer0_batchnorm_used,params_dense_layer0_dropout_p,params_dense_layer0_n_neurons,params_dense_layer1_activation,params_dense_layer1_batchnorm_used,params_dense_layer1_dropout_p,params_dense_layer1_n_neurons,params_dense_layer2_activation,params_dense_layer2_batchnorm_used,params_dense_layer2_dropout_p,params_dense_layer2_n_neurons,params_lr,params_momentum,params_n_conv_layers,params_n_dense_layers,params_optimizer,params_weight_decay,state
37,37,0.5662671029567719,2026-04-04 19:54:13.363612,2026-04-04 19:54:22.110841,0 days 00:00:08.747229,0.9479439588302865,,,leaky_relu,0.3619209916110024,256,leaky_relu,0.08870319512620321,16,relu,0.04889272539836199,32.0,leaky_relu,0.1526633679557175,256.0,relu,False,0.09771373548261812,64,,,,,,,,,0.0008257686011357685,,4,1,RMSprop,2.6201757073139475e-05,PRUNED
38,38,0.6060382694005966,2026-04-04 19:54:22.120026,2026-04-04 19:54:31.315703,0 days 00:00:09.195677,,0.8258326093121771,0.9896870329242862,leaky_relu,0.28833332950614643,256,leaky_relu,0.05543491946217049,16,relu,0.17497240159524163,128.0,leaky_relu,0.09096515717355841,256.0,leaky_relu,True,0.01603768975828565,64,relu,False,0.010404198764564415,64.0,,,,,0.0005026264822163671,,4,2,Adam,5.6957060052839577e-05,PRUNED
39,39,2.2649919152259828,2026-04-04 19:54:31.325316,2026-04-04 19:54:34.478538,0 days 00:00:03.153222,,,,leaky_relu,0.3452354463980768,32,leaky_relu,0.03459810973221253,64,leaky_relu,0.1102247729865314,128.0,leaky_relu,0.23657141375965904,32.0,relu,False,0.08008947462301215,32,,,,,,,,,0.0037233326445962746,0.3225409674229682,4,1,SGD,0.000537247179834783,PRUNED
40,40,0.5837819427251816,2026-04-04 19:54:34.489806,2026-04-04 19:54:46.300672,0 days 00:00:11.810866,0.909513614612624,,,leaky_relu,0.25271170505968465,256,leaky_relu,0.11226601754403168,128,relu,0.15131169948894158,16.0,leaky_relu,0.18049389890395792,128.0,leaky_relu,True,0.06409071741349362,64,,,,,,,,,0.007205349709292331,,4,1,RMSprop,4.739544138014274e-05,PRUNED
41,41,0.2873777151107788,2026-04-04 19:54:46.310859,2026-04-04 19:54:58.041139,0 days 00:00:11.730280,,0.7978356667667359,0.9769376144537709,relu,0.3311670826477727,128,leaky_relu,0.08175490228924773,16,relu,0.06128036753865987,256.0,leaky_relu,0.2660639264485629,256.0,leaky_relu,False,0.040457919402582636,16,,,,,,,,,0.005231938200461902,,4,1,Adam,0.0001835348223874808,COMPLETE
42,42,0.28181235417723655,2026-04-04 19:54:58.051829,2026-04-04 19:55:09.801933,0 days 00:00:11.750104,,0.7907457462326066,0.9774905774101703,relu,0.3769433754443653,128,leaky_relu,0.06580927975971759,16,relu,0.06471297226544914,256.0,leaky_relu,0.3204659382912039,256.0,leaky_relu,False,0.050075975587592594,32,,,,,,,,,0.005058695065656572,,4,1,Adam,9.219806590346316e-05,COMPLETE
43,43,0.29757455363869667,2026-04-04 19:55:09.812662,2026-04-04 19:55:17.178365,0 days 00:00:07.365703,,0.788251887811651,0.9877594423834327,relu,0.37238905783116455,32,leaky_relu,0.0766913974103364,16,relu,0.060239624583146044,256.0,leaky_relu,0.32387550396340026,256.0,leaky_relu,False,0.048163539224234074,32,,,,,,,,,0.00284957949522499,,4,1,Adam,0.0001066653073258091,COMPLETE
44,44,0.28367491364479064,2026-04-04 19:55:17.190946,2026-04-04 19:55:36.515117,0 days 00:00:19.324171,,0.850936886016624,0.9751087341672366,relu,0.37626831562597063,256,leaky_relu,0.10792425668071244,16,relu,0.06251221033421239,256.0,leaky_relu,0.3119673741632224,256.0,leaky_relu,False,0.07583289199119006,32,,,,,,,,,0.003936932851334016,,4,1,Adam,8.818725104669462e-05,COMPLETE
45,45,0.6755860596895218,2026-04-04 19:55:36.524481,2026-04-04 19:55:44.827406,0 days 00:00:08.302925,,0.854019912847419,0.9825562161911228,relu,0.3471707330773028,256,leaky_relu,0.10927463467738273,16,,,,,,,leaky_relu,False,0.10302849426438898,32,leaky_relu,False,0.13586468189531511,32.0,,,,,0.0021026059457738776,,2,2,Adam,9.0811060799949e-05,PRUNED
46,46,0.32655775994062425,2026-04-04 19:55:44.837340,2026-04-04 19:56:02.983974,0 days 00:00:18.146634,,0.7465011033944507,0.9707398288280207,relu,0.38009194181906425,256,leaky_relu,0.09424305063950467,16,leaky_relu,0.02839534477649442,256.0,,,,relu,False,0.07654108012339325,32,,,,,,,,,0.003816047458657177,,3,1,Adam,4.398484303392874e-05,COMPLETE
